neighbors,iris_verginica, iris_setosa, iris_versicolor
1,0.9292490118577075, 1.0, 0.9254098360655738
2,0.9323708206686929, 1.0, 0.9282051282051282
3,0.9397832195905258, 1.0, 0.9377289377289377
4,0.9518939393939394, 1.0, 0.9490940465918896
5,0.9397832195905258, 1.0, 0.9377289377289377
6,0.9518939393939394, 1.0, 0.9490940465918896
7,0.9799277398635087, 1.0, 0.9792429792429792
8,0.9515306122448979, 1.0, 0.9427927927927927
9,0.9604037267080745, 1.0, 0.9583333333333333
10,0.9502279635258358, 1.0, 0.9448717948717948
